"Postcode","Latitude","Longitude","District","Ward","Roads","Population","Households"
"CF5 1NE","51.480881","-3.209231","Cardiff","Canton","York Street","49","20"
"CF5 1NF","51.481875","-3.209618","Cardiff","Canton","Tintern Street","53","26"
"CF5 1NG","51.480947","-3.209809","Cardiff","Canton","Wembley Road","81","31"
"CF5 1NH","51.481957","-3.211290","Cardiff","Canton","Grosvenor Street","54","26"
"CF5 1NJ","51.481214","-3.210954","Cardiff","Canton","Brunswick Street,Grosvenor Street","88","33"
"CF5 1NL","51.481966","-3.210398","Cardiff","Canton","Tintern Street","9","5"
"CF5 1NR","51.480679","-3.201709","Cardiff","Canton","St John's Crescent","9","3"
"CF5 1NS","51.480866","-3.203643","Cardiff","Canton","Alexandra Road","69","31"
"CF5 1NT","51.479578","-3.203869","Cardiff","Canton","Alexandra Road,Bassett Street","72","27"
"CF5 1NU","51.479736","-3.204233","Cardiff","Canton","Alexandra Road","62","27"
"CF5 1NW","51.481041","-3.203259","Cardiff","Canton","Penllyn Road","84","33"
"CF5 1NX","51.480420","-3.202422","Cardiff","Canton","St John's Crescent","99","38"
"CF5 1NY","51.481047","-3.201833","Cardiff","Canton","Church Road","56","22"
"CF5 1NZ","51.480459","-3.201271","Cardiff","Canton","Earle Place","42","19"
"CF5 1PA","51.479835","-3.201672","Cardiff","Canton","Welby Road","39","11"
"CF5 1PB","51.480356","-3.203486","Cardiff","Canton","Denton Road,Eton Place,Penllyn Road,St John's Crescent","23","10"
"CF5 1PD","51.479434","-3.203001","Cardiff","Canton","Denton Road,Major Road,Welby Lane","60","27"
"CF5 1PE","51.479475","-3.203463","Cardiff","Canton","Denton Road","80","30"
"CF5 1PF","51.479483","-3.201720","Cardiff","Canton","Atlas Place,B4267,Major Road,Welby Road","75","32"
"CF5 1PG","51.479088","-3.202617","Cardiff","Canton","Atlas Place","57","21"
"CF5 1PH","51.478497","-3.203250","Cardiff","Canton","A4161,Foundry Close","27","7"
"CF5 1PJ","51.478669","-3.203945","Cardiff","Canton","A4161,Bassett Street","31","11"
"CF5 1PL","51.478803","-3.202279","Cardiff","Canton","A4161,Foundry Close","51","23"
"CF5 1PN","51.478231","-3.203703","Cardiff","Canton","Foundry Close,Thurston Street","52","25"
"CF5 1PP","51.478396","-3.204284","Cardiff","Canton","Bassett Street","19","11"
"CF5 1PQ","51.478914","-3.205478","Cardiff","Canton","A4161","85","36"
"CF5 1PR","51.479291","-3.207360","Cardiff","Canton","A4161,Beda Road","53","20"
"CF5 1PS","51.479930","-3.209883","Cardiff","Canton","A4161","65","24"
"CF5 1PT","51.479171","-3.205859","Cardiff","Canton","A4161","16","5"
"CF5 1PU","51.479716","-3.207948","Cardiff","Canton","A4161","12","5"
"CF5 1PW","51.480228","-3.209776","Cardiff","Canton","A4161,Sanatorium Road,Wembley Road","58","24"
"CF5 1PX","51.479771","-3.202578","Cardiff","Canton","Welby Lane","4","1"
"CF5 1PY","51.478688","-3.204796","Cardiff","Canton","Bassett Street","32","25"
"CF5 1PZ","51.478210","-3.203170","Cardiff","Canton","Foundry Close","31","17"
"CF5 1QA","51.483330","-3.206257","Cardiff","Canton","St Canna Close","21","11"
"CF5 1QB","51.483993","-3.203942","Cardiff","Canton","Carmarthen Street","8","7"
"CF5 1QD","51.482456","-3.202965","Cardiff","Canton","Library Street,Market Place","40","17"
"CF5 1QE","51.483266","-3.204671","Cardiff","Canton","Market Place,Market Road","63","31"
"CF5 1QF","51.482385","-3.203741","Cardiff","Canton","Market Road","20","9"
"CF5 1QG","51.483790","-3.205247","Cardiff","Canton","Carmarthen Street,Rectory Road","44","24"
"CF5 1QH","51.484258","-3.204352","Cardiff","Canton","Carmarthen Street","22","12"
"CF5 1QJ","51.484379","-3.205709","Cardiff","Canton","Parry Street","19","11"
"CF5 1QL","51.484764","-3.204970","Cardiff","Canton","Rectory Road","84","41"
"CF5 1QN","51.484549","-3.206721","Cardiff","Canton","Pembroke Road","36","16"
"CF5 1QP","51.484575","-3.209415","Cardiff","Canton","Brecon Street,Pembroke Road","74","30"
"CF5 1QQ","51.484225","-3.211077","Cardiff","Canton","Clive Road,Egerton Street,Pembroke Road","62","27"
"CF5 1QR","51.484752","-3.207087","Cardiff","Canton","Glamorgan Street,Pembroke Road","89","40"
"CF5 1QS","51.483004","-3.205615","Cardiff","Canton","Glamorgan Street","102","44"
"CF5 1QT","51.484148","-3.206308","Cardiff","Canton","Glamorgan Street,Parry Street","87","38"
"CF5 1QU","51.484077","-3.207083","Cardiff","Canton","Cardigan Street,Pen-Y-Peel Road","22","12"
"CF5 1QW","51.482445","-3.204880","Cardiff","Canton","Harvey Street","",""
"CF5 1QX","51.482745","-3.206357","Cardiff","Canton","Pen-Y-Peel Road","64","28"
"CF5 1QY","51.483501","-3.207198","Cardiff","Canton","Pen-Y-Peel Road","94","40"
"CF5 1QZ","51.483039","-3.207488","Cardiff","Canton","Anglesey Street","23","14"
"CF5 1RA","51.483740","-3.208371","Cardiff","Canton","Anglesey Street,Cardigan Street,Radnor Road,Romilly Place","70","37"
"CF5 1RB","51.483484","-3.207932","Cardiff","Canton","Anglesey Street,Radnor Road","48","21"
"CF5 1RD","51.482926","-3.208896","Cardiff","Canton","Thornhill Street","26","15"
"CF5 1RE","51.483713","-3.209277","Cardiff","Canton","Brecon Street","110","46"
"CF5 1RF","51.483650","-3.210154","Cardiff","Canton","Egerton Street","57","21"
"CF5 1RG","51.483771","-3.209797","Cardiff","Canton","Egerton Street,Thornhill Street","58","29"
"CF5 1RH","51.483150","-3.208960","Cardiff","Canton","Brecon Street","9","5"
"CF5 1RT","51.482758","-3.205954","Cardiff","Canton","Glamorgan Street Mews","10","7"
"CF5 1RU","51.483912","-3.206546","Cardiff","Canton","Cardigan Street","18","10"
"CF5 1RY","51.484195","-3.206957","Cardiff","Canton","Cardigan Street","11","8"
"CF5 1RZ","51.483235","-3.204195","Cardiff","Canton","Market Road","",""
"CF5 1SA","51.486145","-3.214109","Cardiff","Canton","Romilly Road West","7","5"
"CF5 1SB","51.487146","-3.213862","Cardiff","Canton","Conybeare Road","28","20"
"CF5 1SD","51.488293","-3.211573","Cardiff","Canton","Clive Road","45","37"
"CF5 1SE","51.487788","-3.210840","Cardiff","Canton","Clive Road,Dulwich Gardens","50","23"
"CF5 1SG","51.486307","-3.214070","Cardiff","Canton","Conybeare Road","10","6"
"CF5 1WU","51.482013","-3.208469","Cardiff","Canton","B4267,Tintern Street","",""
"CF5 1WX","51.481510","-3.202235","Cardiff","Canton","B4267","",""
"CF5 1XB","51.482130","-3.205837","Cardiff","Canton","B4267","",""
"CF5 2AA","51.490717","-3.211062","Cardiff","Llandaff","Cardiff Road,Penhill Close","40","17"
"CF5 2AB","51.492000","-3.214841","Cardiff","Llandaff","Cardiff Road,Palace Road","42","20"
"CF5 2AD","51.488752","-3.208979","Cardiff","Llandaff","Cardiff Road","30","12"
"CF5 2AE","51.489496","-3.210957","Cardiff","Llandaff","Cardiff Road,Penhill Close","14","8"
"CF5 2AF","51.491269","-3.215974","Cardiff","Llandaff","Palace Road","84","30"
"CF5 2AG","51.489856","-3.214409","Cardiff","Llandaff","Howell's Crescent,Palace Road","35","13"
"CF5 2AH","51.489803","-3.215157","Cardiff","Llandaff","Palace Road","28","11"
"CF5 2AJ","51.491183","-3.214689","Cardiff","Llandaff","Cathedral Road,Howell's Crescent","88","21"
"CF5 2AL","51.490037","-3.217727","Cardiff","Llandaff","St Michael's Road","55","21"
"CF5 2AN","51.489440","-3.221485","Cardiff","Llandaff","St Michael's Road","40","15"
"CF5 2AP","51.490394","-3.217996","Cardiff","Llandaff","St Michael's Road","56","18"
"CF5 2AQ","51.489810","-3.221408","Cardiff","Llandaff","St Michael's Road","36","14"
"CF5 2AR","51.489990","-3.210077","Cardiff","Llandaff","Cardiff Road","15","12"
"CF5 2AS","51.490149","-3.210341","Cardiff","Llandaff","Cardiff Road","13","10"
"CF5 2AT","51.492138","-3.215464","Cardiff","Llandaff","Cardiff Road,Palace Road","",""
"CF5 2AU","51.507246","-3.242798","Cardiff","Llandaff","Buckley Close,Timothy Rees Close","123","40"
"CF5 2AW","51.493966","-3.221260","Cardiff","Llandaff","Cardiff Road,Maynard Court","11","9"
"CF5 2AX","51.495345","-3.206142","Cardiff","Riverside","Mill Lane","6","2"
"CF5 2AY","51.494830","-3.206388","Cardiff","Riverside","Western Avenue","1","1"
"CF5 2AZ","51.494617","-3.213110","Cardiff","Llandaff","Mill Lane,Verland Close","3","1"
"CF5 2BA","51.491006","-3.217882","Cardiff","Llandaff","Deans Close,Verland Close","42","19"
"CF5 2BB","51.490732","-3.220886","Cardiff","Llandaff","Thistle Way,Verland Close","27","8"
"CF5 2BD","51.489394","-3.225920","Cardiff","Llandaff","Verland Close","69","27"
"CF5 2BE","51.486832","-3.228444","Cardiff","Fairwater","Western Avenue","5","4"
"CF5 2BF","51.499034","-3.235356","Cardiff","Fairwater","Llantrisant Road","",""
"CF5 2BG","51.491934","-3.216928","Cardiff","Llandaff","Verland Close","11","4"
"CF5 2BH","51.490954","-3.222908","Cardiff","Llandaff","Verland Close","29","11"
"CF5 2BJ","51.490258","-3.225007","Cardiff","Llandaff","Insole Grove East,Verland Close","41","13"
"CF5 2BL","51.489159","-3.227786","Cardiff","Llandaff","Bishops' Walk,Insole Grove West,Verland Close","38","16"
"CF5 2BN","51.487059","-3.229040","Cardiff","Fairwater","Western Avenue","10","5"
"CF5 2BP","51.491463","-3.218039","Cardiff","Llandaff","Verland Close","9","7"
"CF5 2BQ","51.491625","-3.218936","Cardiff","Llandaff","Verland Close","21","11"
"CF5 2BR","51.490740","-3.217602","Cardiff","Llandaff","Deans Close","35","11"
"CF5 2BS","51.490668","-3.220164","Cardiff","Llandaff","Caewal Road","29","7"
"CF5 2BT","51.491521","-3.220302","Cardiff","Llandaff","Caewal Road","43","12"
"CF5 2BU","51.490375","-3.220703","Cardiff","Llandaff","Thistle Way","19","8"
"CF5 2BW","51.489090","-3.225725","Cardiff","Llandaff","Insole Place","19","10"
"CF5 2BX","51.487637","-3.227976","Cardiff","Llandaff","B4488,Lloyd Avenue","33","12"
"CF5 2BY","51.487203","-3.226538","Cardiff","Canton","B4488,Ely Road","25","10"
"CF5 2BZ","51.486435","-3.228548","Cardiff","Canton","Aldsworth Road,Ely Road","8","6"
"CF5 2DA","51.487531","-3.226936","Cardiff","Llandaff","Ely Road,Windway Road","33","14"
"CF5 2DB","51.504010","-3.250274","Cardiff","Fairwater","Heol Cynwrig,Llantrisant Road","",""
"CF5 2DD","51.504857","-3.249202","Cardiff","Fairwater","Rhodfa Groes-Wen","",""
"CF5 2DE","51.493653","-3.221021","Cardiff","Llandaff","Cardiff Road","57","42"
"CF5 2DF","51.506638","-3.245778","Cardiff","Llandaff","Buckley Close","99","41"
"CF5 2DG","51.506791","-3.244932","Cardiff","Llandaff","Buckley Close","58","21"
"CF5 2DH","51.506881","-3.242428","Cardiff","Llandaff","De Braose Close,Timothy Rees Close","83","37"
"CF5 2DJ","51.506344","-3.242182","Cardiff","Llandaff","De Braose Close","79","32"
"CF5 2DL","51.492986","-3.214334","Cardiff","Llandaff","Cathedral Road","103","68"
"CF5 2DN","51.495481","-3.221647","Cardiff","Llandaff","Cardiff Road","18","10"
"CF5 2DP","51.494351","-3.220536","Cardiff","Llandaff","Cardiff Road,Heol Fair,Heol-Y-Pavin","17","10"
"CF5 2DQ","51.493259","-3.218332","Cardiff","Llandaff","Cardiff Road,High Street","18","6"
"CF5 2DR","51.495663","-3.222314","Cardiff","Llandaff","Cardiff Road","22","10"
"CF5 2DS","51.495120","-3.221824","Cardiff","Llandaff","Cardiff Road","2","2"
"CF5 2DT","51.492719","-3.217525","Cardiff","Llandaff","Cardiff Road,Ely Road,Palace Avenue","47","23"
"CF5 2DU","51.493439","-3.220036","Cardiff","Llandaff","Cardiff Road,Fairwater Road","4","4"
"CF5 2DW","51.492086","-3.217839","Cardiff","Llandaff","Palace Avenue","73","32"
"CF5 2DX","51.494056","-3.218670","Cardiff","Llandaff","Chapel Street,High Street","27","8"
"CF5 2DY","51.493727","-3.219107","Cardiff","Llandaff","High Street","18","9"
"CF5 2DZ","51.494113","-3.219161","Cardiff","Llandaff","Chapel Street,High Street","12","7"
"CF5 2EA","51.493584","-3.218182","Cardiff","Llandaff","Chapel Street","31","17"
"CF5 2EB","51.495689","-3.219851","Cardiff","Llandaff","Bridge Street,The Cathedral Green","102","59"
"CF5 2ED","51.495195","-3.217216","Cardiff","Llandaff","Cathedral Close,High Street","6","2"
"CF5 2EE","51.494411","-3.219932","Cardiff","Llandaff","Heol Fair","33","17"
"CF5 2EF","51.494296","-3.219728","Cardiff","Llandaff","Heol Fair","8","4"
"CF5 2EG","51.495179","-3.220443","Cardiff","Llandaff","Heol-Y-Pavin,Penedre","12","7"
"CF5 2EH","51.494954","-3.220466","Cardiff","Llandaff","Penedre","3","2"
"CF5 2EJ","51.495754","-3.221395","Cardiff","Llandaff","Bridge Street","23","14"
"CF5 2EL","51.495929","-3.221010","Cardiff","Llandaff","Bridge Street,Spencer's Row","34","19"
"CF5 2EN","51.496496","-3.222639","Cardiff","Llandaff","Bridge Road,Bridge Street","23","13"
"CF5 2EP","51.496410","-3.221383","Cardiff","Llandaff","Spencer's Row","9","5"
"CF5 2EQ","51.496660","-3.221592","Cardiff","Llandaff","Bruton Place,Mitre Place","21","8"
"CF5 2ER","51.496585","-3.220999","Cardiff","Llandaff","Bruton Place","30","13"
"CF5 2ES","51.494694","-3.219522","Cardiff","Llandaff","Heol Fair","11","8"
"CF5 2ET","51.494049","-3.220139","Cardiff","Llandaff","Cardiff Road","9","5"
"CF5 2EU","51.497070","-3.222784","Cardiff","Llandaff","Fordwell,Gabalfa Road","28","18"
"CF5 2EW","51.499312","-3.236271","Cardiff","Fairwater","Danescourt Way,Llantrisant Road,Manston Close,Tangmere Drive","28","19"
"CF5 2EX","51.499492","-3.238754","Cardiff","Fairwater","Grantham Close","34","15"
"CF5 2EY","51.498977","-3.238178","Cardiff","Fairwater","Cranwell Close,Fairwood Road,Grantham Close","34","15"
"CF5 2EZ","51.496242","-3.222027","Cardiff","Llandaff","Mitre Place","9","6"
"CF5 2FA","51.503414","-3.248774","Cardiff","Fairwater","","",""
"CF5 2FB","51.503849","-3.246754","Cardiff","Fairwater","","",""
"CF5 2FD","51.505039","-3.249927","Cardiff","Pentyrch and St Fagans","","",""
"CF5 2FE","51.503890","-3.251366","Cardiff","Pentyrch and St Fagans","","",""
"CF5 2FF","51.495325","-3.222003","Cardiff","Llandaff","","",""
"CF5 2FG","51.503632","-3.253621","Cardiff","Pentyrch and St Fagans","","",""
"CF5 2FH","51.498287","-3.227672","Cardiff","Llandaff","","",""
"CF5 2FL","51.497412","-3.227057","Cardiff","Llandaff","","",""
"CF5 2FP","51.497707","-3.227267","Cardiff","Llandaff","","",""
"CF5 2FQ","51.495179","-3.221322","Cardiff","Llandaff","Heol-Y-Pavin","7","4"
"CF5 2FS","51.498053","-3.226830","Cardiff","Llandaff","","",""
"CF5 2FX","51.496813","-3.228439","Cardiff","Llandaff","","",""
"CF5 2HA","51.490555","-3.228429","Cardiff","Llandaff","Bishops' Walk","68","29"
"CF5 2HB","51.492059","-3.229060","Cardiff","Llandaff","Bishops' Place,Bishops' Walk","29","10"
"CF5 2HD","51.490525","-3.227837","Cardiff","Llandaff","Bishops' Walk","57","20"
"CF5 2HE","51.492047","-3.228483","Cardiff","Llandaff","Bishops' Avenue,Bishops' Walk","18","9"
"CF5 2HF","51.492210","-3.229265","Cardiff","Llandaff","Bishops' Close","22","10"
"CF5 2HG","51.491835","-3.228146","Cardiff","Llandaff","Bishops' Place","11","5"
"CF5 2HH","51.490988","-3.227461","Cardiff","Llandaff","Insole Grove West","60","24"
"CF5 2HJ","51.492530","-3.227862","Cardiff","Llandaff","Bishops' Avenue","43","17"
"CF5 2HL","51.492798","-3.228057","Cardiff","Llandaff","Prospect Drive","30","12"
"CF5 2HN","51.493249","-3.227939","Cardiff","Llandaff","Prospect Drive","73","27"
"CF5 2HP","51.491311","-3.226605","Cardiff","Llandaff","Insole Grove East,Prospect Drive,Vaughan Avenue","57","26"
"CF5 2HQ","51.491074","-3.226052","Cardiff","Llandaff","Insole Close","10","5"
"CF5 2HR","51.490605","-3.225304","Cardiff","Llandaff","Vaughan Avenue","35","16"
"CF5 2HS","51.491347","-3.223149","Cardiff","Llandaff","Hendre Close,Insole Gardens,Vaughan Avenue","46","16"
"CF5 2HT","51.492249","-3.222079","Cardiff","Llandaff","Hendre Close","62","22"
"CF5 2HU","51.492092","-3.223299","Cardiff","Llandaff","Hendre Gardens","34","11"
"CF5 2HW","51.492339","-3.223766","Cardiff","Llandaff","Hendre Gardens,Insole Gardens","67","26"
"CF5 2HX","51.490891","-3.223785","Cardiff","Llandaff","Heol Harlech","15","6"
"CF5 2JB","51.491259","-3.221245","Cardiff","Llandaff","Ely Road","50","39"
"CF5 2JD","51.492799","-3.220999","Cardiff","Llandaff","Ely Road","13","8"
"CF5 2JE","51.492398","-3.219864","Cardiff","Llandaff","Ely Road","15","8"
"CF5 2JF","51.490101","-3.222799","Cardiff","Llandaff","Ely Road","84","57"
"CF5 2JG","51.492398","-3.220657","Cardiff","Llandaff","Caewal Road,Ely Road","63","28"
"CF5 2JH","51.489449","-3.224107","Cardiff","Llandaff","Ely Road,St Michael's Road","42","16"
"CF5 2JJ","51.488691","-3.226045","Cardiff","Llandaff","B4488,Ely Road,Western Avenue","77","37"
"CF5 2JL","51.488651","-3.229040","Cardiff","Llandaff","B4488,Fairwater Grove West,Waun-Gron Road","14","6"
"CF5 2JN","51.489816","-3.230281","Cardiff","Llandaff","Fairwater Grove West","98","44"
"CF5 2JP","51.491628","-3.231598","Cardiff","Llandaff","Fairwater Grove East,Fairwater Grove West","63","26"
"CF5 2JQ","51.490116","-3.229958","Cardiff","Llandaff","Fairwater Grove West","86","36"
"CF5 2JR","51.491767","-3.231155","Cardiff","Llandaff","Fairwater Grove West","60","22"
"CF5 2JS","51.490310","-3.229430","Cardiff","Llandaff","Fairwater Grove East","84","33"
"CF5 2JT","51.491551","-3.230357","Cardiff","Llandaff","Fairwater Grove East","55","22"
"CF5 2JU","51.490146","-3.228792","Cardiff","Llandaff","Fairwater Grove East","99","40"
"CF5 2JW","51.491931","-3.230093","Cardiff","Llandaff","Fairwater Grove East","76","27"
"CF5 2LA","51.496225","-3.218411","Cardiff","Llandaff","The Cathedral Green","",""
"CF5 2LB","51.493365","-3.224529","Cardiff","Llandaff","Hardwicke Court","60","26"
"CF5 2LD","51.494860","-3.222638","Cardiff","Llandaff","Fairwater Road,Maynard Court,The Avenue","66","26"
"CF5 2LE","51.493462","-3.230783","Cardiff","Llandaff","Fairwater Road,Marionville Gardens","30","16"
"CF5 2LF","51.493796","-3.227176","Cardiff","Llandaff","Fairwater Road,Hardwicke Court,Llandaff Chase,The Grange","49","20"
"CF5 2LG","51.492904","-3.230826","Cardiff","Llandaff","Fairwater Grove West,Fairwater Road","37","14"
"CF5 2LH","51.493420","-3.223608","Cardiff","Llandaff","The Grange","44","21"
"CF5 2LJ","51.492544","-3.232516","Cardiff","Llandaff","Fairwater Road","19","15"
"CF5 2LL","51.494683","-3.223167","Cardiff","Llandaff","The Avenue","19","12"
"CF5 2LN","51.492019","-3.225126","Cardiff","Llandaff","Fairwater Road","",""
"CF5 2LP","51.495560","-3.223565","Cardiff","Llandaff","Llantrisant Road,The Avenue","21","11"
"CF5 2LQ","51.495612","-3.222932","Cardiff","Llandaff","The Avenue","23","11"
"CF5 2LR","51.493060","-3.234805","Cardiff","Fairwater","Marionville Gardens","42","19"
"CF5 2LS","51.494132","-3.221654","Cardiff","Llandaff","Heol Fair,Maynard Court","17","12"
"CF5 2LT","51.496047","-3.222641","Cardiff","Llandaff","Bridge Street,The Avenue","11","6"
"CF5 2LU","51.493776","-3.222192","Cardiff","Llandaff","Ynys Y Coed","18","6"
"CF5 2NA","51.494742","-3.227893","Cardiff","Llandaff","Llandaff Chase","38","15"
"CF5 2NB","51.497292","-3.235914","Cardiff","Fairwater","Chatsworth Close,Kirton Close","100","51"
"CF5 2ND","51.495342","-3.232418","Cardiff","Llandaff","Little Orchard","8","3"
"CF5 2NG","51.494544","-3.232123","Cardiff","Llandaff","Pwllmelin Road,Rookwood Close","41","13"
"CF5 2NH","51.495410","-3.236166","Cardiff","Fairwater","Amethyst Road,Elfed Green,Pwllmelin Road","48","18"
"CF5 2NJ","51.494476","-3.230104","Cardiff","Llandaff","Pwllmelin Road,Rookwood Avenue","41","14"
"CF5 2NL","51.495249","-3.232646","Cardiff","Llandaff","Pwllmelin Road,Rookwood Close,The Chantry","10","6"
"CF5 2NN","51.495552","-3.233807","Cardiff","Llandaff","The Chantry","26","12"
"CF5 2NP","51.495054","-3.228939","Cardiff","Llandaff","Rookwood Avenue","40","19"
"CF5 2NQ","51.493808","-3.232074","Cardiff","Llandaff","Pwllmelin Lane,Pwllmelin Road","20","10"
"CF5 2NR","51.495309","-3.230386","Cardiff","Llandaff","Rookwood Close","44","22"
"CF5 2NS","51.494863","-3.230057","Cardiff","Llandaff","Rookwood Close","40","26"
"CF5 2NT","51.495137","-3.233104","Cardiff","Llandaff","The Chantry","",""
"CF5 2NZ","51.499785","-3.233187","Cardiff","Llandaff","Baynton Close,Llantrisant Road","55","20"
"CF5 2PA","51.498882","-3.237787","Cardiff","Fairwater","Kenley Close","38","21"
"CF5 2PB","51.501922","-3.231775","Cardiff","Llandaff","Clos Taf","14","3"
"CF5 2PD","51.498653","-3.235591","Cardiff","Fairwater","Hornchurch Close,Kirton Close,Woodford Close","53","29"
"CF5 2PE","51.507997","-3.243207","Cardiff","Llandaff","Holgate Close","56","26"
"CF5 2PF","51.507929","-3.241995","Cardiff","Llandaff","Godwin Close","26","12"
"CF5 2PG","51.499580","-3.232101","Cardiff","Llandaff","Llantrisant Rise","73","27"
"CF5 2PH","51.498307","-3.236892","Cardiff","Fairwater","Woodford Close","26","17"
"CF5 2PJ","51.499428","-3.237139","Cardiff","Fairwater","Tangmere Drive","27","15"
"CF5 2PN","51.497789","-3.233983","Cardiff","Llandaff","Triscombe Drive","68","28"
"CF5 2PP","51.500400","-3.243893","Cardiff","Fairwater","Ashdene Close,Tangmere Drive","52","24"
"CF5 2PQ","51.499790","-3.239540","Cardiff","Fairwater","Digby Close,Tangmere Drive","99","64"
"CF5 2PR","51.500609","-3.241176","Cardiff","Fairwater","Duxford Close,Llantrisant Road","46","24"
"CF5 2PS","51.500325","-3.239901","Cardiff","Fairwater","Digby Close","28","13"
"CF5 2PT","51.497133","-3.223621","Cardiff","Llandaff","Bridge Road","30","14"
"CF5 2PU","51.497998","-3.232087","Cardiff","Llandaff","Gilian Road,Greenwood Road,Llantrisant Road","52","25"
"CF5 2PW","51.501392","-3.241918","Cardiff","Fairwater","Llantrisant Road,Radyr Farm Road,Restways Close,Waterhall Road","7","3"
"CF5 2PX","51.498356","-3.231376","Cardiff","Llandaff","Gilian Road,Greenwood Road,Llantrisant Rise,Llantrisant Road","89","31"
"CF5 2PY","51.504695","-3.246691","Cardiff","Llandaff","Heol Cynwrig,Llantrisant Road","",""
"CF5 2PZ","51.498464","-3.228771","Cardiff","Llandaff","Gilian Road","47","20"
"CF5 2QA","51.499118","-3.229019","Cardiff","Llandaff","Highfields,Radyr Court Road","57","26"
"CF5 2QB","51.500431","-3.231605","Cardiff","Llandaff","Highfields","81","32"
"CF5 2QD","51.499021","-3.230587","Cardiff","Llandaff","Greenwood Road,Whitehall Road","41","19"
"CF5 2QE","51.498811","-3.230048","Cardiff","Llandaff","Whitehall Road","36","12"
"CF5 2QF","51.504925","-3.234305","Cardiff","Llandaff","Radyr Court Road","24","8"
"CF5 2QG","51.501347","-3.231730","Cardiff","Llandaff","Radyr Court Close","118","52"
"CF5 2QH","51.501465","-3.232468","Cardiff","Llandaff","Radyr Court Close,Radyr Court Rise","38","17"
"CF5 2QJ","51.500422","-3.229919","Cardiff","Llandaff","River View Court","23","10"
"CF5 2QL","51.502647","-3.232918","Cardiff","Llandaff","Gerddi Taf,Riversdale","140","75"
"CF5 2QN","51.503912","-3.239162","Cardiff","Llandaff","Cadoc Place","21","0"
"CF5 2QP","51.500902","-3.238130","Cardiff","Llandaff","Heol Urban,Lynch Blosse Close,Marshall Close","165","63"
"CF5 2QQ","51.501130","-3.236061","Cardiff","Llandaff","Marshall Close","39","16"
"CF5 2QR","51.501331","-3.237479","Cardiff","Llandaff","Bruce Knight Close","30","11"
"CF5 2QS","51.501520","-3.236619","Cardiff","Llandaff","Pritchard Close","41","18"
"CF5 2QT","51.500400","-3.237108","Cardiff","Llandaff","Douglas Close","56","24"
"CF5 2QU","51.501187","-3.238310","Cardiff","Llandaff","Lynch Blosse Close","50","20"
"CF5 2QW","51.501790","-3.238284","Cardiff","Llandaff","Bruce Knight Close,Heol Urban","108","53"
"CF5 2QX","51.501990","-3.241488","Cardiff","Llandaff","Epstein Close,Heol Seddon,Piper Close,Roper Close,Woolmer Close","156","59"
"CF5 2QY","51.502759","-3.241869","Cardiff","Llandaff","Pace Close,Woolmer Close","12","5"
"CF5 2QZ","51.503330","-3.242316","Cardiff","Llandaff","Pace Close","60","22"
"CF5 2RA","51.502537","-3.241603","Cardiff","Llandaff","Epstein Close","29","15"
"CF5 2RB","51.502212","-3.240903","Cardiff","Llandaff","Piper Close","43","16"
"CF5 2RD","51.502136","-3.242990","Cardiff","Llandaff","Llantrisant Road,Roper Close","15","6"
"CF5 2RE","51.503684","-3.244545","Cardiff","Llandaff","Danescourt Way,Heol Aradur,Heol Seddon,Ty Parc Close","100","39"
"CF5 2RF","51.504594","-3.243532","Cardiff","Llandaff","Jevan Close","40","15"
"CF5 2RG","51.503557","-3.243792","Cardiff","Llandaff","Ty Parc Close","17","6"
"CF5 2RH","51.505512","-3.242578","Cardiff","Llandaff","Rachel Close,Timothy Rees Close","99","35"
"CF5 2RJ","51.504731","-3.242470","Cardiff","Llandaff","Ollivant Close","41","15"
"CF5 2RL","51.506141","-3.240116","Cardiff","Llandaff","Allan Durst Close,De Braose Close,Mylo-Griffiths Close,Nicholson Webb Close,Ollivant Close","150","60"
"CF5 2RN","51.505633","-3.242249","Cardiff","Llandaff","Wyon Close","23","9"
"CF5 2RP","51.505473","-3.240401","Cardiff","Llandaff","Allan Durst Close","63","25"
"CF5 2RQ","51.505742","-3.239616","Cardiff","Llandaff","Mylo-Griffiths Close","52","27"
"CF5 2RR","51.505030","-3.237997","Cardiff","Llandaff","Blethin Close,Hughs Close,John Morgan Close","103","52"
"CF5 2RS","51.504782","-3.239359","Cardiff","Llandaff","Blethin Close,Cadoc Place,John Morgan Close","32","21"
"CF5 2RT","51.504273","-3.238207","Cardiff","Llandaff","Hughs Close","31","11"
"CF5 2RU","51.502970","-3.235549","Cardiff","Llandaff","Beale Close,Edward Clarke Close,Richard Lewis Close,Sumner Close","168","83"
"CF5 2RW","51.500372","-3.235479","Cardiff","Llandaff","Danescourt Way,Edward Clarke Close","101","46"
"CF5 2RX","51.500508","-3.234488","Cardiff","Llandaff","Jasper Close","30","18"
"CF5 2RY","51.502434","-3.236053","Cardiff","Llandaff","Burne Jones Close","76","38"
"CF5 2RZ","51.503559","-3.236804","Cardiff","Llandaff","Glyn Simon Close","66","37"
"CF5 2SA","51.500732","-3.246481","Cardiff","Fairwater","Ashdene Close,Restways Close,Tangmere Drive","88","54"
"CF5 2SB","51.501660","-3.246291","Cardiff","Fairwater","Restways Close","44","17"
"CF5 2SD","51.502684","-3.245555","Cardiff","Fairwater","Llantrisant Road,Vista Rise","118","53"
"CF5 2SE","51.502317","-3.246294","Cardiff","Fairwater","Restways Close,Sundew Close","58","25"
